text	label
but when the teenager decides to invite a 12-year-old boy who is running away from home , maud is near illegality . 	0
"the fictional film "" the dragon "" tells the story of how a young boy , who's master is killed by a group of thugs , grows up to avenge his teacher's murder . "	0
an observation and reflection on contemporary life in the uk from a director with unique eclectic vision , a poetical attempt at defining what it is to live in this country . 	0
for anyone who cares about the future of america , it's required viewing . 	1
although it's a bit smug and repetitive , this documentary engages your brain in a way few current films do . 	1
this rough but extraordinary film presents a haunting picture of life in kurdistan . 	1
a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless . 	1
the warnings to resist temptation in this film . . . are blunt and challenging and offer no easy rewards for staying clean . 	1
what the director can&#8217 ; t do is make either of val kilmer&#8217 ; s two personas interesting or worth caring about . 	1
a dark and quirky comedy set in an eccentric north london jewish old age home , paradise grove revolves around a dysfunctional family comprising 79-year-old izzie goldberg , determined to die with dignity , his daughter dee perry , a mixture of traditional jewish mother and child of the sixties , and her teenage son keith , who's half-black and half-jewish , and understandably undergoing an identity crisis . 	0
if ocean's eleven was a high-priced banquet of popular guys toasting one another's hard-earned coolness in a pointless caper , full frontal is the after-party . 	1
anxious to use artificial life to improve the world , rosetta stone , ( tilda swinton ) , a bio-geneticist creates a recipe for cyborgs and uses her own dna in order to breed three self replicating automatons , part human , part computer named ruby , olive and marine ( also played by tilda swinton ) . 	0
narc is a no-bull throwback to 1970s action films . it zips along with b-movie verve while adding the rich details and go-for-broke acting that heralds something special . 	1
these devices immediately became an essential household appliance , and were advertised in nearly every women's magazine and sewing notions catalog of the time . 	0
together with his men , mcnamara uses a hero's resolve to carry out his mission , ultimately forced to weigh the value of his life against the good of his country . 	0
after confining herself in her home for two months , to rehabilitate , physically and mentally , she is persuaded by friends and family to get out of her inner prison and face the world . 	0
lessons abound for the students and teacher culminating in a reunion 25 years later . 	0
people are becoming petrified , and no-one knows what is doing it . 	0
when in their thirties , they lose their father and inherit his second-hand bookshop . 	0
any film that doesn't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss . 	1
in a world besieged by world war ii , wendy , now grown up , tries to give her own children hope by telling them of her magical experiences with peter pan in never land . 	0
even with all those rough edges safely sanded down , the american insomnia is still pretty darned good . 	1
a good film with a solid pedigree both in front of and , more specifically , behind the camera . 	1
no way i can believe this load of junk . 	1
now they must run for their lives as the deluge strikes with full force at the heart of their private world . 	0
their plan is to sell it to wealthy arabs . 	0
thekids will probably stay amused at the kaleidoscope of big , colorful characters . mom and dad can catch some quality naptime along the way . 	1
the ring just left me cold and wet like i was out in the seattle drizzle without rainwear . 	1
as a way of catharsis , he arranges for a woman to meet his nephew/surrogate son in a selfish act of redemption ; as a result raymond brings larger problems between the two to the surface . 	0
when the young and highly repressive king pentheus discovers that his own mother agave has given herself over to this upstart god of wine and erotic joy , he declares a state of war , despite the very stern warnings of cadmus , the former king and the famed prophet teiresias . 	0
by the standards of knucklehead swill , the hot chick is pretty damned funny . 	1
the balkans provide the obstacle course for the love of a good woman . 	1
its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? 	1
with its young cast and an appealing balance of uplifting attitude and irreverent humor , drumline has the potential to be a sleeper hit . 	1
very well written and directed with brutal honesty and respect for its audience . 	1
the film might have been more satisfying if it had , in fact , been fleshed out a little more instead of going for easy smiles . 	1
these two facts cause a chain of events that changes not only her life , but also that of her friends in a brutal way . . . 	0
a provocative movie about loss , anger , greed , jealousy , sickness and love . 	1
one whom he could never love and one whom he could never stop loving . . . 	0
nothing more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks . 	1
borrows from other movies like it in the most ordinary and obvious fashion . 	1
 ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . 	1
they marry because that's what you are supposed to do . 	0
then the trouble it&#180 ; s only stars , with betrayals , bounty killers , hostile indians and the mystery ghost who guard the gold mine . 	0
in a time when a woman's place was in the home , young emily ventures out and falls in love with a young soldier , eventually carrying his baby out of wedlock . 	0
by the end , it becomes clear that the patient is the woman in the story and the narrator is her suitor . 	0
rumours of haunting , paired with the desire to forget the painful tragedy that took place five years before , have kept the truth of holy angel's last days buried with the innocent victims . 	0
in 1999 , after one of their husbands became ill with leukemia , the women came up with a more commercial concept : discreet photos of these bare wi lasses . 	0
the circles cause a media frenzy and test hess's faith as he journeys to find out the truth behind the crop circles . 	0
this is as respectful a film as byatt fans could hope for , though lovers of the book may wonder why it's necessary . 	1
